Wall time,Step,Value
1527652432.999594,69100,0.75
1527652640.0223029,69200,0.765625
1527652843.152199,69300,0.578125
1527653047.306234,69400,0.578125
1527653252.2731125,69500,0.765625
1527653458.9299316,69600,0.640625
1527653660.3180387,69700,0.5625
1527653868.69041,69800,0.59375
1527654074.611991,69900,0.609375
1527654279.5743964,70000,0.71875
1527654487.1390812,70100,0.6875
1527654703.0887206,70200,0.5625
1527654903.9797978,70300,0.640625
1527655106.2938664,70400,0.59375
1527655308.0331938,70500,0.734375
1527655510.4237146,70600,0.75
1527655719.4634552,70700,0.71875
1527655924.526806,70800,0.640625
1527656121.1726954,70900,0.78125
1527656325.9712503,71000,0.640625
1527656529.843869,71100,0.6875
1527656731.4832234,71200,0.65625
1527656929.679972,71300,0.65625
1527657134.6140022,71400,0.703125
1527657341.301242,71500,0.578125
1527657544.1162922,71600,0.640625
1527657751.5170636,71700,0.640625
1527657951.579527,71800,0.6875
1527658156.4645886,71900,0.6875
1527658359.7848542,72000,0.640625
1527658561.7794135,72100,0.578125
1527658760.7279344,72200,0.546875
1527658967.9515061,72300,0.578125
1527659171.4242744,72400,0.703125
1527659377.281341,72500,0.640625
1527659581.7614892,72600,0.625
1527659781.278773,72700,0.71875
1527659991.868227,72800,0.734375
1527660209.2151258,72900,0.65625
1527660425.327945,73000,0.71875
1527660643.1126678,73100,0.75
1527660856.0310624,73200,0.65625
1527661061.180438,73300,0.703125
1527661267.5501103,73400,0.734375
1527661484.2060206,73500,0.546875
1527661698.948368,73600,0.6875
1527661927.343833,73700,0.640625
1527662152.1149516,73800,0.734375
1527662379.6473367,73900,0.71875
1527662605.6592307,74000,0.703125
1527662839.082625,74100,0.71875
1527663076.8763459,74200,0.640625
1527663308.6755183,74300,0.609375
1527663551.3446336,74400,0.640625
1527663790.474307,74500,0.734375
1527664025.7420378,74600,0.75
1527664260.5787559,74700,0.71875
1527664502.0373867,74800,0.640625
1527664737.7338562,74900,0.671875
1527664964.513548,75000,0.6875
1527665185.8998048,75100,0.71875
1527665405.76815,75200,0.59375
1527665623.9718754,75300,0.75
1527665842.9043033,75400,0.65625
1527666056.639535,75500,0.75
1527666273.7858644,75600,0.828125
1527666499.7852132,75700,0.703125
1527666722.2412755,75800,0.71875
1527666947.7648845,75900,0.671875
1527667167.364231,76000,0.703125
1527667390.9182382,76100,0.6875
1527667613.9230103,76200,0.625
1527667833.0866642,76300,0.671875
1527668052.562774,76400,0.65625
1527668270.0463977,76500,0.609375
1527668482.9253037,76600,0.703125
1527668694.773997,76700,0.671875
1527668909.4690979,76800,0.671875
1527669124.7114556,76900,0.640625
1527669339.1552804,77000,0.734375
1527669562.0299716,77100,0.765625
1527669778.9635482,77200,0.609375
1527669998.8028693,77300,0.59375
1527670220.172576,77400,0.75
1527670441.2794218,77500,0.703125
1527670663.4112816,77600,0.671875
1527670878.3561716,77700,0.640625
1527671091.0924373,77800,0.75
1527671309.951965,77900,0.625
1527671525.5751739,78000,0.6875
1527671743.529525,78100,0.6875
1527671961.9949107,78200,0.671875
1527672183.8928022,78300,0.71875
1527672394.0271268,78400,0.640625
1527672614.315965,78500,0.59375
1527672833.2446027,78600,0.578125
1527673048.905834,78700,0.75
1527673268.8264837,78800,0.671875
1527673483.4469826,78900,0.6875
1527673699.9486039,79000,0.515625
1527673918.3987064,79100,0.734375
1527674131.616137,79200,0.640625
1527674350.402282,79300,0.703125
1527674562.5512488,79400,0.5625
1527674778.9619613,79500,0.796875
1527674995.5197427,79600,0.640625
1527675213.7691982,79700,0.734375
1527675431.2640505,79800,0.640625
1527675658.504402,79900,0.578125
1527675878.3999426,80000,0.6875
1527676098.0785842,80100,0.6875
1527676314.2549655,80200,0.59375
1527676536.252003,80300,0.6875
1527676759.587687,80400,0.6875
1527676983.7967741,80500,0.75
1527677207.5933459,80600,0.65625
1527677433.0057008,80700,0.78125
1527677660.259868,80800,0.65625
1527677891.4477003,80900,0.65625
1527678117.295868,81000,0.671875
1527678337.314858,81100,0.65625
1527678556.882054,81200,0.671875
1527678782.6831582,81300,0.578125
1527679002.8235302,81400,0.640625
1527679222.8961267,81500,0.65625
1527679446.7545166,81600,0.640625
1527679667.2542083,81700,0.59375
1527679883.4287708,81800,0.703125
1527680106.9057958,81900,0.703125
1527680323.6061547,82000,0.578125
1527680543.9129255,82100,0.671875
1527680760.778387,82200,0.6875
1527680967.8765981,82300,0.609375
1527681177.0088816,82400,0.640625
1527681388.160634,82500,0.65625
1527681594.597344,82600,0.609375
1527681802.8372538,82700,0.71875
1527682005.2622166,82800,0.71875
1527682214.3634853,82900,0.671875
1527682418.7125776,83000,0.578125
1527682620.4744053,83100,0.625
1527682819.234227,83200,0.5
1527683023.3643734,83300,0.71875
1527683223.9348323,83400,0.625
1527683428.661353,83500,0.625
1527683630.6396172,83600,0.59375
1527683834.1034706,83700,0.609375
1527684041.2386692,83800,0.546875
1527684243.2771757,83900,0.640625
